date,stock_000100,stock_000002,stock_600703,stock_000708,stock_601390,stock_601318,stock_601668,stock_601857,stock_300035,stock_600111,stock_600011,stock_600406,stock_002236,stock_600809,stock_600346,stock_000651,stock_002241,stock_000977,stock_600893,DAX,SBCNL,HSI,NKY,BGB,BRX,BJB,BTY,SPX,UKX,BBDXY,BCOMPR,BCOMINSP,BCOMEN,BCOM
2011-04-18,1.9493177,0.6741573,0.8016977,-0.44792829999999995,-0.2159827,1.3104467,-0.48661800000000005,0.7487520999999999,-2.1190260999999997,-1.3240574999999999,-0.6722689,-0.9171682000000001,3.4433098,2.0862525,-1.8600531,-1.2416851,-0.5309735,-1.6877637,0.542659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-19,7.8393881,-2.0089286,1.9181287000000002,-2.0809899,-2.3809524,-3.8076152000000003,-0.2444988,-2.0644096000000003,1.2897281999999999,-3.9003866,-1.3536378999999998,1.2438531,1.7339577,2.5316456,-3.3393501999999997,-0.9429725999999999,0.0,1.1587983,-2.2488756,0.7190851516230223,-0.01847856042489493,-1.3147911030205406,-1.2338066009575877,0.37376984087165166,0.3108547219940583,0.10487133290273398,0.052076310626891775,0.5731185926413973,0.8830141489961862,-0.4494835720661339,0.7624259994310156,0.6842043089364758,0.9263418238558474,0.5785476305162351
2011-04-20,-3.3687943,-1.7084282,-1.3311912000000001,0.45950599999999997,0.6651885,-0.3409091,-1.4705882,0.3372681,3.6834925,0.5561472,-0.5145798,7.3428571,1.6546405,0.1784917,0.0,0.3173164,2.3131673,-1.145524,2.1779140999999997,4.283648954587327,0.09240987813963208,1.6879032050504117,1.7437106617594678,0.4091128166402669,1.0737292410199606,-0.012157084473063406,-0.28624553321699997,1.3514954823178105,2.639643151570792,-0.7877461706783384,0.5569484495214327,1.9806907353815406,2.116900643834807,1.1168337096899794
2011-04-21,6.4220183,0.5793743,0.4884857,1.7724414000000002,0.0,0.6461422,0.4975124,0.4201681,3.245614,4.636385,0.862069,-0.1597019,-0.012238400000000002,-0.1484781,2.1475257,0.045187500000000005,-1.8478261,2.832618,0.0,1.1593806920930483,0.5058497603368517,1.053908521033331,1.6479213050942354,1.278174807443233,0.8224173738878182,0.8482804973599434,0.06523569288385822,0.5284283953215896,0.8361995452706106,-0.34750987121693333,1.3261557831943938,1.0185192770668205,1.0516247885678176,0.8723776416101003
2011-04-22,0.0,-1.4976959,-1.6666667,0.2808989,-0.44052859999999994,-1.4916918,0.49504950000000003,-0.5020921,-3.2710280000000003,1.2595592,1.5384615000000001,4.1055718,-0.8567931000000001,-0.1635688,-0.4570384,2.8455285,2.5470653,-2.5041735999999997,1.4410087,0.0,-0.3396606171721883,0.0,-0.2319770160569723,0.0,0.0,-0.07371849704520539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-25,6.896551700000001,-0.3508772,-2.7542372999999998,-1.6806723,-1.1061947,-0.9392371,-1.9704433000000001,-0.9251472000000001,-3.4255598999999997,-2.9209240000000003,-0.6734007,-3.6107554,2.345679,3.0533213999999997,-3.3976125,-1.8006148,-2.8077754,-4.6232877,-3.7881030000000004,0.0,-0.1510242918519089,0.0,-0.08147128268444215,0.0,0.0,-0.06147178414775967,0.2868801021761902,-0.16001315996082566,0.0,-0.0615391259284892,0.9854070185650654,-0.895419135136899,-0.1422077165170732,0.1738046339483823
2011-04-26,-10.0,0.3521127,-0.048414399999999996,-2.2792023,0.0,-0.2128483,-0.5025126000000001,-0.5093379,-6.321055,0.6063379,-3.0508475,-1.487779,3.1242460999999997,-0.24570019999999998,-2.851711,-2.3255814,-1.4666667,-2.0197487,-5.3214396,1.2723890981059194,0.08539687977819899,-0.5833705517633847,-0.9898007568237666,-0.06445609724985424,0.5966493454588218,0.3054234669222389,0.28605945452078174,0.8979591836734802,0.42785506059934697,-0.2614322598766261,-1.659383136106829,-0.5955085321949105,0.10365597422608008,-0.4699137183176383
2011-04-27,3.9426522999999998,-1.7543860000000002,-0.5570356000000001,-2.8571429,-0.8948546,0.07756450000000001,1.2626263,-0.3412969,-1.6504854,0.0,1.7482517,-2.1305286,-1.7428939,-1.2315270999999999,1.369863,-0.7326007,-3.3603968999999996,-3.4814475,-3.3138401999999996,1.0092626552446138,0.19511687995557025,-0.45532707222261104,0.5444456865988601,-0.1535622139492987,-0.07750894186786539,-0.7375822337455595,-0.20744298943978778,0.6249814435438372,0.4171148920348422,-0.5242350392634765,1.2460723324793088,-1.0560603929392176,0.23399504956653772,-0.3490474740258209
2011-04-28,-1.5517241,-1.0714286,-5.9668776999999995,0.180072,-1.8058691000000002,0.9881806,0.0,0.0,-1.2833169,-3.1498749,-1.5463918,-2.5075778,-2.3809524,-4.4887781,-3.4749035,-1.3376384,-2.1003501,-1.9458946000000001,-0.4032258,1.7120061202064774,0.11255262262162002,-0.3650045839376781,2.7382069755450766,1.208899081008763,1.3176249011428665,1.1706653561428526,0.44173582859237115,0.3555463759349564,0.5666253554582834,-0.15897039448611316,1.689038069066573,0.5746504836563249,1.0744849002839896,-0.043964297062304425
2011-04-29,-0.8756567,2.045728,3.1598032,2.8160575,1.1494252999999999,0.2110514,-0.4987531,0.2568493,-1.0,1.8081483999999999,6.2827225,2.3176935999999997,2.4390243999999996,3.7321456000000004,0.7000000000000001,2.7582983,0.1191895,3.5333979,0.6747638,0.7287562834520145,0.2996133022997727,-0.3280789961110808,0.0,0.3365791046874955,0.40699010348519415,0.0,0.1552387075816064,0.23006585910854138,0.0,-0.27809586127924835,1.8284939758147711,-0.7890016684955703,1.470055616260102,1.3884032322480255
2011-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4997185874396459,0.018461181742446264,0.0,2.018460371559061,-0.04792143570183649,0.24210990822137735,0.47923167595838034,0.07747413397745095,-0.1752700552210551,0.0,0.06780402449693135,-1.6069332263444536,0.16386239619026188,-0.38544314997119855,-0.7001438253436909
2011-05-03,0.0,0.23584909999999998,-1.3306553,-0.3496503,0.45454550000000005,0.6509669,0.0,0.0853971,0.7575758,-1.7529697,4.1050903,0.0,0.9285714,1.0068108,0.9930487,1.3648772,0.14285710000000001,1.3090229,1.0053619,-0.5119599690611376,-0.06217687083400758,-0.3729752805218145,0.0,-0.40656394178303357,-0.30098242439675627,0.0,0.1677721624163908,-0.3379321491015497,-0.4487089117356513,0.15955935389391218,-3.0610389801566273,1.0766099201862334,-1.4906507894694832,-1.1491857590062549
